Date,State,Tax_Collection,Government_Spending,Budget_Deficit
2021-06-27,Gujarat,30638555,83536612,13254321
2021-06-28,Delhi,37546204,71987715,12342396
2021-06-29,Maharashtra,56915971,68780014,11578229
2021-06-30,Delhi,54672740,78273124,5890815
2021-07-01,Tamil Nadu,71361053,75202442,7132541
2021-07-02,Maharashtra,61280454,70826552,10182557
2021-07-03,Gujarat,67838451,72679249,10466981
2021-07-04,Tamil Nadu,52334232,60021094,8179890
2021-07-05,Karnataka,58668443,88020537,3553286
2021-07-06,Karnataka,30773175,87801030,9569575
2021-07-07,Maharashtra,53504684,50530402,12169668
2021-07-08,Gujarat,30789524,49635998,14656133
2021-07-09,Maharashtra,44916754,77281097,5219079
2021-07-10,Gujarat,31839200,79925083,11234190
2021-07-11,Maharashtra,71443137,73169854,5549047
2021-07-12,Delhi,74890135,39422086,6183960
2021-07-13,Tamil Nadu,30879155,66551875,6585829
2021-07-14,Tamil Nadu,40708768,85467378,6102811
2021-07-15,Delhi,52039536,54760588,14678280
2021-07-16,Karnataka,37778545,87840640,1160189
2021-07-17,Karnataka,73421137,43534077,7255348
2021-07-18,Karnataka,73810668,80969304,10224818
2021-07-19,Maharashtra,61249028,47064598,4853340
2021-07-20,Maharashtra,38902216,70076210,11855645
2021-07-21,Gujarat,34522910,82410274,7300992
2021-07-22,Delhi,36838898,75058979,7901208
2021-07-23,Gujarat,42167169,37128475,8390648
2021-07-24,Tamil Nadu,38200136,38736846,3778124
2021-07-25,Gujarat,41937591,76042067,14345352
2021-07-26,Maharashtra,30263368,40478500,9037274
2021-07-27,Tamil Nadu,49914145,55992046,11568444
2021-07-28,Maharashtra,71923273,81800210,2934426
2021-07-29,Tamil Nadu,44053611,60065063,12434428
2021-07-30,Maharashtra,54885963,65070897,11928042
2021-07-31,Gujarat,34651208,66062666,2366710
2021-08-01,Karnataka,37229550,84953438,5299188
2021-08-02,Tamil Nadu,76778213,80146223,6785636
2021-08-03,Gujarat,42526607,47192532,2645635
2021-08-04,Tamil Nadu,69582839,81647036,13810279
2021-08-05,Gujarat,39018609,85299528,12616145
2021-08-06,Gujarat,76103486,76740228,11151745
2021-08-07,Maharashtra,75714212,48188433,9709635
2021-08-08,Maharashtra,32750632,63998836,4937603
2021-08-09,Karnataka,79617993,78046369,13711508
2021-08-10,Maharashtra,54059451,58076662,3294103
2021-08-11,Karnataka,68804532,48856265,5625751
2021-08-12,Delhi,65884246,45136692,13471070
2021-08-13,Tamil Nadu,44452438,47391584,2558913
2021-08-14,Gujarat,64365415,79357338,12183848
2021-08-15,Karnataka,39365828,39619985,11670943
2021-08-16,Delhi,52979630,39766906,10427124
2021-08-17,Delhi,53478617,80875701,12525844
2021-08-18,Maharashtra,47890734,76508901,3271984
2021-08-19,Delhi,57632643,81277970,6327492
2021-08-20,Delhi,68459913,42032112,4038766
2021-08-21,Gujarat,46418982,51978280,10665952
2021-08-22,Maharashtra,53258802,75339550,13675672
2021-08-23,Delhi,40554048,67682424,2405195
2021-08-24,Karnataka,42060962,85349093,7526614
2021-08-25,Delhi,42548244,79659729,11743970
2021-08-26,Gujarat,60521889,44211640,12968356
2021-08-27,Maharashtra,45063166,86956131,11415181
2021-08-28,Maharashtra,32833859,64980447,13964227
2021-08-29,Gujarat,62223892,81010129,9167745
2021-08-30,Delhi,67447504,84487926,12155982
2021-08-31,Maharashtra,40012014,40665201,11705252
2021-09-01,Delhi,79663795,67647808,9130517
2021-09-02,Delhi,56049393,47909594,8990984
2021-09-03,Karnataka,63316870,68846611,9695342
2021-09-04,Gujarat,69129720,39624821,8569839
2021-09-05,Maharashtra,44048993,87064881,2032185
2021-09-06,Gujarat,37332379,39006620,3631222
2021-09-07,Gujarat,72385847,88475365,8334889
2021-09-08,Maharashtra,30208330,89711183,5956246
2021-09-09,Karnataka,32332435,69769852,12464179
2021-09-10,Maharashtra,64390433,58915320,11238210
2021-09-11,Gujarat,38424213,40670989,6888510
2021-09-12,Delhi,66034071,66524930,10055514
2021-09-13,Maharashtra,68351377,81029073,12798202
2021-09-14,Karnataka,49515420,45712072,12323087
2021-09-15,Maharashtra,37944162,49956809,12950956
2021-09-16,Karnataka,41419685,35075789,1674263
2021-09-17,Tamil Nadu,55250782,47304368,10442099
2021-09-18,Karnataka,58755633,45167495,1766741
2021-09-19,Gujarat,54853322,50961492,8858259
2021-09-20,Delhi,60947145,58909062,11461342
2021-09-21,Tamil Nadu,41233437,70882097,5851963
2021-09-22,Tamil Nadu,40297533,84711398,8205902
2021-09-23,Delhi,39696880,78021072,4728071
2021-09-24,Karnataka,44825478,51282056,6825716
2021-09-25,Tamil Nadu,77526495,48993312,2780023
2021-09-26,Karnataka,73124026,63437867,13348317
2021-09-27,Maharashtra,42663392,81951797,2972994
2021-09-28,Maharashtra,48586852,38521775,9673279
2021-09-29,Tamil Nadu,44070084,86844693,10587643
2021-09-30,Gujarat,59153065,41193761,1610790
2021-10-01,Gujarat,73293748,89644472,1416371
2021-10-02,Karnataka,48512517,40274082,9724156
2021-10-03,Delhi,59088703,70293714,2035539
2021-10-04,Gujarat,75193721,88030191,6185149
2021-10-05,Karnataka,64981845,74140930,4925585
2021-10-06,Tamil Nadu,61790988,50971126,4806849
2021-10-07,Karnataka,49895655,74701448,11248500
2021-10-08,Tamil Nadu,72577591,71336230,3700009
2021-10-09,Tamil Nadu,51843327,59879051,1310415
2021-10-10,Maharashtra,51133658,74868516,10211836
2021-10-11,Maharashtra,44021702,84890262,5493780
2021-10-12,Maharashtra,34516700,88773245,5365358
2021-10-13,Karnataka,55274751,66350185,7286630
2021-10-14,Gujarat,36023622,77400390,4861601
2021-10-15,Karnataka,51929643,77756034,11581035
2021-10-16,Karnataka,79659835,80256381,13062910
2021-10-17,Tamil Nadu,76377227,37455509,6702716
2021-10-18,Tamil Nadu,70248164,46917068,4467721
2021-10-19,Gujarat,35238172,67327923,13643334
2021-10-20,Gujarat,49345091,38864637,11475551
2021-10-21,Tamil Nadu,43167095,63078075,2864643
2021-10-22,Tamil Nadu,45431155,48241845,2785639
2021-10-23,Gujarat,43929637,46979185,8252945
2021-10-24,Tamil Nadu,37247962,85220616,14045921
2021-10-25,Karnataka,70565582,84248584,3889640
2021-10-26,Gujarat,65070716,84651283,8870518
2021-10-27,Delhi,71218662,69428104,10268461
2021-10-28,Delhi,71426038,56224498,3035669
2021-10-29,Gujarat,54245072,68848513,9290447
2021-10-30,Tamil Nadu,73834780,47198987,7710895
2021-10-31,Maharashtra,37131362,56497833,1289920
2021-11-01,Karnataka,53133168,49527242,12648799
2021-11-02,Karnataka,70590896,46100847,11968554
2021-11-03,Karnataka,73318327,79452866,14139136
2021-11-04,Maharashtra,71013611,74452607,1619670
2021-11-05,Tamil Nadu,35846378,81130500,13561071
2021-11-06,Karnataka,76307509,61890771,6080484
2021-11-07,Maharashtra,51313817,88286847,9647399
2021-11-08,Delhi,46437192,53380358,14731227
2021-11-09,Maharashtra,65275684,78000020,6385536
2021-11-10,Tamil Nadu,79511077,87132756,8553861
2021-11-11,Delhi,63508037,61251029,8579561
2021-11-12,Delhi,63139596,35779364,10763145
2021-11-13,Maharashtra,30391498,43516941,3507668
2021-11-14,Maharashtra,71547007,63581638,2341868
2021-11-15,Karnataka,34500693,60919969,14527248
2021-11-16,Maharashtra,51239348,59222960,7740555
2021-11-17,Maharashtra,60965459,40349968,6965410
2021-11-18,Gujarat,79636711,69562982,4358707
2021-11-19,Gujarat,59493162,63901097,8434985
2021-11-20,Karnataka,40299146,59928084,13509518
2021-11-21,Tamil Nadu,38490450,57545401,4195186
2021-11-22,Tamil Nadu,73241237,49562503,11209033
2021-11-23,Tamil Nadu,72541198,44330937,2946497
2021-11-24,Maharashtra,76037959,39086062,8367105
2021-11-25,Gujarat,41385397,49361189,14631488
2021-11-26,Tamil Nadu,31928679,74610516,4232299
2021-11-27,Delhi,30565144,72946873,10244166
2021-11-28,Karnataka,44917039,84601155,12320733
2021-11-29,Tamil Nadu,39039754,80196791,14287644
2021-11-30,Tamil Nadu,31475363,71443651,8543637
2021-12-01,Karnataka,39484324,54185283,3802781
2021-12-02,Maharashtra,71108652,41489129,13719770
2021-12-03,Tamil Nadu,61548080,83138197,9710892
2021-12-04,Tamil Nadu,34579950,61604849,14436351
2021-12-05,Karnataka,71553716,86483451,12761960
2021-12-06,Tamil Nadu,70780492,70583866,6710204
2021-12-07,Gujarat,38977400,37333409,1685834
2021-12-08,Gujarat,64564454,49557512,7659497
2021-12-09,Delhi,40230651,58940664,1821777
2021-12-10,Tamil Nadu,59390594,44966439,8092088
2021-12-11,Delhi,53347218,54965098,5728050
2021-12-12,Tamil Nadu,78811334,35163142,4380147
2021-12-13,Delhi,52571725,49549052,6323417
2021-12-14,Tamil Nadu,78137316,53398167,6551041
2021-12-15,Karnataka,54844953,45721247,7252876
2021-12-16,Maharashtra,48989415,85272813,13329648
2021-12-17,Gujarat,39210557,47685512,14636780
2021-12-18,Gujarat,75098276,67546519,12908255
2021-12-19,Maharashtra,60822646,62498246,3649688
2021-12-20,Karnataka,63073295,78766359,7727471
2021-12-21,Maharashtra,48658916,66553544,13998249
2021-12-22,Maharashtra,43542417,82866228,7718894
2021-12-23,Tamil Nadu,47365366,75790691,4562802
2021-12-24,Gujarat,63008138,51125121,1555612
2021-12-25,Karnataka,49698320,63141901,8380130
2021-12-26,Gujarat,76673774,70501408,1753775
2021-12-27,Delhi,31043854,74109189,4228631
2021-12-28,Maharashtra,35105214,50847255,8933757
2021-12-29,Delhi,64860448,56277018,6061538
2021-12-30,Maharashtra,39517264,55598264,8763305
2021-12-31,Karnataka,38614673,60926386,5106979
2022-01-01,Tamil Nadu,32451577,57201119,12447344
2022-01-02,Karnataka,53461502,46667735,2414606
2022-01-03,Maharashtra,73708235,73148063,5724859
2022-01-04,Gujarat,46802848,58401518,10189965
2022-01-05,Gujarat,76682127,37476141,11227068
2022-01-06,Karnataka,53585373,83070369,6377741
2022-01-07,Delhi,61273685,51241679,10164148
2022-01-08,Karnataka,58150030,80561129,13263710
2022-01-09,Maharashtra,76593246,81235865,9091278
2022-01-10,Delhi,59913361,56775529,4703003
2022-01-11,Maharashtra,67072241,59342363,4644852
2022-01-12,Delhi,62633306,54942699,2331299
2022-01-13,Delhi,53374331,86858267,14419709
2022-01-14,Tamil Nadu,31500934,60875647,6910880
2022-01-15,Karnataka,62246474,39241494,2735411
2022-01-16,Karnataka,77365021,51826158,12970799
2022-01-17,Maharashtra,54582545,46967976,8699285
2022-01-18,Karnataka,44329400,54902419,2920771
2022-01-19,Gujarat,54416953,75253372,10883053
2022-01-20,Maharashtra,34756075,44858248,6353864
2022-01-21,Tamil Nadu,58004853,85879830,8754236
2022-01-22,Gujarat,70386929,40531097,11113446
2022-01-23,Tamil Nadu,40825970,80826311,3618446
2022-01-24,Maharashtra,31028148,85902579,9405602
2022-01-25,Tamil Nadu,40030612,46680785,9168623
2022-01-26,Delhi,73195696,61236598,9918600
2022-01-27,Tamil Nadu,33765413,61692703,7604265
2022-01-28,Karnataka,30940397,72731214,12306604
2022-01-29,Tamil Nadu,54949589,75445811,14794106
2022-01-30,Gujarat,51603165,37730653,4877123
2022-01-31,Tamil Nadu,42665520,52900857,7248975
2022-02-01,Maharashtra,37060177,76445986,10253225
2022-02-02,Delhi,51730055,37138722,10432056
2022-02-03,Maharashtra,49328366,43657219,1949210
2022-02-04,Gujarat,32008670,50225840,1790071
2022-02-05,Tamil Nadu,30975587,60001379,11874526
2022-02-06,Karnataka,52296363,50326075,4670511
2022-02-07,Gujarat,56451672,60919167,3170427
2022-02-08,Karnataka,60637510,35597258,8624449
2022-02-09,Delhi,65629800,51786917,13862552
2022-02-10,Karnataka,70640561,83637865,9227688
2022-02-11,Maharashtra,75154636,85755053,5882505
2022-02-12,Maharashtra,75433944,37946164,1773453
2022-02-13,Delhi,47141366,46018623,10748628
2022-02-14,Maharashtra,53229898,35507461,13246091
2022-02-15,Karnataka,55674583,82649248,4604538
2022-02-16,Delhi,62235050,79414674,12362984
2022-02-17,Gujarat,33216700,71220684,12168153
2022-02-18,Gujarat,64241919,88262104,2321108
2022-02-19,Tamil Nadu,50173786,65676913,8687018
2022-02-20,Delhi,58001788,86190496,13932012
2022-02-21,Karnataka,52729545,45606293,7176514
2022-02-22,Tamil Nadu,43086068,55430097,11763850
2022-02-23,Gujarat,52041713,40242082,12514121
2022-02-24,Karnataka,47560864,39089895,6512179
2022-02-25,Tamil Nadu,75298311,61811002,11073665
2022-02-26,Gujarat,43870386,73098820,10591957
2022-02-27,Gujarat,39511072,59274951,10815521
2022-02-28,Gujarat,47497343,68353837,13009744
2022-03-01,Maharashtra,68690259,41371604,11949761
2022-03-02,Maharashtra,42157472,55086233,4604092
2022-03-03,Tamil Nadu,37230023,44907387,8243749
2022-03-04,Karnataka,70081060,66456110,8910902
2022-03-05,Tamil Nadu,78838033,64155489,12988584
2022-03-06,Karnataka,34534848,52271453,1927630
2022-03-07,Delhi,65049682,62907965,5773045
2022-03-08,Tamil Nadu,53179496,38075103,3310770
2022-03-09,Delhi,44972488,66639060,6165234
2022-03-10,Karnataka,35108213,83911324,1637629
2022-03-11,Delhi,30315120,73832218,10980253
2022-03-12,Karnataka,44372273,61232004,7312602
2022-03-13,Gujarat,57416586,88401147,10852085
2022-03-14,Delhi,78261455,37595509,1489561
2022-03-15,Delhi,61142520,76196657,3535714
2022-03-16,Maharashtra,68373958,88754476,11768948
2022-03-17,Tamil Nadu,42053172,48901207,12712113
2022-03-18,Delhi,60528313,42892577,3244261
2022-03-19,Delhi,52895400,36074160,6952905
2022-03-20,Karnataka,35103400,79193538,5892127
2022-03-21,Karnataka,53879464,50263767,11100310
2022-03-22,Karnataka,78245139,52381304,1539863
2022-03-23,Maharashtra,33648443,66903585,8545588
2022-03-24,Tamil Nadu,36253520,63475413,11972495
2022-03-25,Tamil Nadu,76156207,39482641,9904975
2022-03-26,Maharashtra,67380661,54182806,14046704
2022-03-27,Tamil Nadu,52445396,80295253,9194769
2022-03-28,Maharashtra,39744443,72571452,2068052
2022-03-29,Karnataka,60499570,79021490,4840642
2022-03-30,Maharashtra,68912720,68753687,4520373
2022-03-31,Gujarat,64705517,68397114,11312649
2022-04-01,Tamil Nadu,61065518,72612404,12411569
2022-04-02,Karnataka,66710402,74102850,2051136
2022-04-03,Gujarat,77406271,88589816,1585506
2022-04-04,Delhi,67938590,53436819,2659257
2022-04-05,Karnataka,60740840,48561604,8810492
2022-04-06,Gujarat,64916075,42782433,4602245
2022-04-07,Tamil Nadu,54479216,86819848,10369915
2022-04-08,Gujarat,51689712,81792927,10034658
2022-04-09,Maharashtra,33532045,52847661,9160137
2022-04-10,Tamil Nadu,75745439,59236119,2507974
2022-04-11,Karnataka,63374960,78037588,4242159
2022-04-12,Gujarat,63416408,73917612,11508157
2022-04-13,Karnataka,30984536,41549516,9718227
2022-04-14,Tamil Nadu,57251575,59832854,11167414
2022-04-15,Maharashtra,33269193,85825659,12806008
2022-04-16,Maharashtra,48363137,44407122,9152203
2022-04-17,Gujarat,58441440,50965738,4528256
2022-04-18,Maharashtra,39636829,38139090,2227774
2022-04-19,Gujarat,78169861,50842256,1172644
2022-04-20,Maharashtra,78020130,79883871,13550648
2022-04-21,Maharashtra,76354979,75167116,2778496
2022-04-22,Karnataka,35493375,80950022,6918186
2022-04-23,Tamil Nadu,35218776,42994362,6426448
2022-04-24,Tamil Nadu,57850015,46179916,3443863
2022-04-25,Maharashtra,46303326,82185394,2321873
2022-04-26,Gujarat,65636097,56994225,10396353
2022-04-27,Gujarat,32686049,68341072,14710085
2022-04-28,Tamil Nadu,31325986,77152997,4287741
2022-04-29,Karnataka,49024138,45253439,2856418
2022-04-30,Tamil Nadu,67939617,47628748,3769468
2022-05-01,Delhi,41906139,71456168,4690093
2022-05-02,Tamil Nadu,39060713,48850021,12838585
2022-05-03,Tamil Nadu,30689064,70256940,2101766
2022-05-04,Delhi,37484488,58746679,1459170
2022-05-05,Tamil Nadu,30543890,87679104,2912136
2022-05-06,Gujarat,65749493,47344164,1845716
2022-05-07,Maharashtra,58583525,61685114,13664353
2022-05-08,Maharashtra,60010874,66202275,3382735
2022-05-09,Karnataka,61356764,44009107,14056760
2022-05-10,Karnataka,42634645,38184719,8632871
2022-05-11,Delhi,37910393,86807941,12085265
2022-05-12,Tamil Nadu,43697411,50590987,6527690
2022-05-13,Delhi,57550695,53382181,1322774
2022-05-14,Gujarat,66576997,64262823,10202473
2022-05-15,Maharashtra,59283298,55727317,9565954
2022-05-16,Gujarat,42904437,67479131,2418393
2022-05-17,Maharashtra,56497142,75036961,7347381
2022-05-18,Gujarat,36244963,67300109,2987632
2022-05-19,Maharashtra,57955180,89310418,2255300
2022-05-20,Tamil Nadu,47693332,78900508,8820843
2022-05-21,Karnataka,69053385,43155784,4282423
2022-05-22,Delhi,64501221,43542447,13097413
2022-05-23,Gujarat,66752663,80414193,1801237
2022-05-24,Maharashtra,60592725,76984671,9910592
2022-05-25,Maharashtra,33964080,69762453,12041653
2022-05-26,Tamil Nadu,32448620,87819044,6657706
2022-05-27,Delhi,48429129,53535912,5852951
2022-05-28,Tamil Nadu,67983037,46483154,13449360
2022-05-29,Gujarat,42234552,51049066,10625888
2022-05-30,Delhi,64306576,54010210,1754078
2022-05-31,Tamil Nadu,58440055,36857590,10815691
2022-06-01,Delhi,51007458,46348483,12334362
2022-06-02,Tamil Nadu,61153895,87934335,3299431
2022-06-03,Tamil Nadu,50630629,89905056,4765332
2022-06-04,Tamil Nadu,51045626,79113672,6528723
2022-06-05,Tamil Nadu,66974984,74073847,9127471
2022-06-06,Karnataka,45427507,80330320,3409887
2022-06-07,Karnataka,61159175,84805439,3631180
2022-06-08,Delhi,41317454,83800610,5498404
2022-06-09,Karnataka,62741267,46170718,7002666
2022-06-10,Maharashtra,72154531,62611237,11638579
2022-06-11,Tamil Nadu,59899163,40670297,6624258
2022-06-12,Maharashtra,56718582,44068336,3299405
2022-06-13,Gujarat,37890469,51747580,14222766
2022-06-14,Delhi,48081441,79956581,1939289
2022-06-15,Karnataka,60256056,71369210,3622340
2022-06-16,Maharashtra,64183116,56084933,3716220
2022-06-17,Gujarat,73927410,71008533,11996643
2022-06-18,Karnataka,69720228,57052589,10777445
2022-06-19,Gujarat,37126000,80515245,4017225
2022-06-20,Delhi,74321310,79854451,14539000
2022-06-21,Maharashtra,73697823,78573176,1620340
2022-06-22,Gujarat,33240534,43516559,12144853
2022-06-23,Tamil Nadu,79028040,48973251,9315512
2022-06-24,Tamil Nadu,44048810,78973576,8784601
2022-06-25,Gujarat,31586853,55550683,1525922
2022-06-26,Maharashtra,63500854,82574959,2073677
2022-06-27,Gujarat,61992078,35493528,13208489
2022-06-28,Gujarat,48800359,69544737,11581446
2022-06-29,Gujarat,50124681,89295123,13550586
2022-06-30,Tamil Nadu,33338049,56923023,2918889
2022-07-01,Tamil Nadu,63152588,53429720,3596370
2022-07-02,Delhi,68276504,59857803,3821808
2022-07-03,Gujarat,48043880,68605387,2513738
2022-07-04,Gujarat,31617167,59899373,14624436
2022-07-05,Maharashtra,45081786,41426186,7044968
2022-07-06,Delhi,31075988,78407791,10434243
2022-07-07,Tamil Nadu,60486479,70994707,4716885
2022-07-08,Gujarat,45547715,80369821,10252938
2022-07-09,Tamil Nadu,45357563,83213993,10317252
2022-07-10,Karnataka,64354267,52488310,1914558
2022-07-11,Karnataka,69613634,57500623,5873049
2022-07-12,Delhi,42676605,60464646,12684364
2022-07-13,Tamil Nadu,44089974,82505321,12056465
2022-07-14,Maharashtra,61043742,50705527,1544428
2022-07-15,Maharashtra,79682515,83395453,6629878
2022-07-16,Karnataka,68893179,85193261,10115785
2022-07-17,Maharashtra,76642457,81310015,2605556
2022-07-18,Gujarat,69137540,85270539,4620135
2022-07-19,Karnataka,77590607,87680268,13035572
2022-07-20,Maharashtra,64668933,48720463,6863808
2022-07-21,Gujarat,57977493,88591918,7497711
2022-07-22,Karnataka,76481839,83090899,12524089
2022-07-23,Tamil Nadu,40114157,69776043,3844775
2022-07-24,Gujarat,58826721,85214274,2963782
2022-07-25,Delhi,32339838,76926425,8131716
2022-07-26,Tamil Nadu,38385083,62040768,6864442
2022-07-27,Tamil Nadu,71134997,87129019,1094028
2022-07-28,Tamil Nadu,52810142,81328894,7658493
2022-07-29,Tamil Nadu,59008814,42267588,1541537
2022-07-30,Tamil Nadu,55796005,65016476,8627164
2022-07-31,Gujarat,52629554,41238515,9582039
2022-08-01,Gujarat,54597285,87529187,11025286
2022-08-02,Gujarat,74260540,82123344,8593833
2022-08-03,Delhi,55250882,50751259,10088716
2022-08-04,Tamil Nadu,66781707,39863286,14195558
2022-08-05,Tamil Nadu,30130706,58175550,10112661
2022-08-06,Karnataka,77794524,50319654,2566963
2022-08-07,Karnataka,44202451,82880853,1215013
2022-08-08,Maharashtra,57098530,59327000,9216788
2022-08-09,Tamil Nadu,68779988,67938951,1679057
2022-08-10,Karnataka,30296890,76539602,5728225
2022-08-11,Karnataka,45048272,83943879,11551675
2022-08-12,Gujarat,51165809,44647574,13488305
2022-08-13,Maharashtra,54384296,61544140,10273069
2022-08-14,Karnataka,31854054,52681295,13594929
2022-08-15,Karnataka,50910877,74133478,8020130
2022-08-16,Karnataka,71157248,81790799,2092657
2022-08-17,Karnataka,77240719,87993272,12269741
2022-08-18,Maharashtra,68105582,88075233,8749887
2022-08-19,Gujarat,65257230,41926109,8816616
2022-08-20,Karnataka,74977248,43503026,3285119
2022-08-21,Tamil Nadu,56594995,53809122,4828055
2022-08-22,Gujarat,53666963,82991567,8914798
2022-08-23,Delhi,43619323,53217279,8469603
2022-08-24,Tamil Nadu,39037576,52070810,10620952
2022-08-25,Gujarat,41643121,76837641,7544398
2022-08-26,Karnataka,36984587,60638112,5911496
2022-08-27,Karnataka,61194733,42959154,14088887
2022-08-28,Maharashtra,61131309,75742303,9453801
2022-08-29,Karnataka,59142054,69042241,12192662
2022-08-30,Tamil Nadu,67243520,76669947,9605376
2022-08-31,Karnataka,58888919,38986840,4455874
2022-09-01,Gujarat,31779399,64620084,14341710
2022-09-02,Delhi,31722074,74268728,5106249
2022-09-03,Maharashtra,41820194,88364566,1622199
2022-09-04,Maharashtra,78274735,62139273,5378068
2022-09-05,Maharashtra,74150789,83508927,12662639
2022-09-06,Delhi,43768088,67691816,5572343
2022-09-07,Delhi,56043694,64880241,2031537
2022-09-08,Karnataka,49054232,76163688,11215427
2022-09-09,Karnataka,37199615,38348926,7394179
2022-09-10,Gujarat,58717042,61203689,5069338
2022-09-11,Gujarat,30649956,57943743,8699606
2022-09-12,Tamil Nadu,73249734,64808745,5444361
2022-09-13,Delhi,71846889,89260850,8343382
2022-09-14,Delhi,79409859,45856071,4271236
2022-09-15,Tamil Nadu,46721698,54448401,5276138
2022-09-16,Karnataka,55028076,67983945,3872387
2022-09-17,Maharashtra,32261941,55318440,5299477
2022-09-18,Maharashtra,49267117,86736544,7395061
2022-09-19,Gujarat,67932343,86530723,12127529
2022-09-20,Karnataka,50607432,35972028,9709444
2022-09-21,Maharashtra,67057258,75433134,14124173
2022-09-22,Karnataka,44657003,46968620,13279188
2022-09-23,Delhi,69480898,81446898,9022019
2022-09-24,Delhi,66207986,69131177,9554786
2022-09-25,Tamil Nadu,49020418,36090984,11437956
2022-09-26,Maharashtra,59191278,65044914,1428660
2022-09-27,Karnataka,38441117,73733432,4957470
2022-09-28,Maharashtra,70736500,86897239,3351686
2022-09-29,Gujarat,61019556,64312152,7119273
2022-09-30,Karnataka,36289523,61950177,9666854
2022-10-01,Tamil Nadu,62798709,67510678,6192734
2022-10-02,Gujarat,55527056,55510315,13715234
2022-10-03,Gujarat,65160967,39945637,14995964
2022-10-04,Delhi,33302505,87061736,6027880
2022-10-05,Gujarat,57048057,58997456,7985243
2022-10-06,Gujarat,68346331,54878103,6841041
2022-10-07,Maharashtra,35450511,86252456,12802575
2022-10-08,Gujarat,46868822,38561259,1360600
2022-10-09,Karnataka,57134906,59529040,12086723
2022-10-10,Gujarat,72442032,73829968,1816696
2022-10-11,Gujarat,60190706,57359588,9969808
2022-10-12,Tamil Nadu,46570972,40931663,10872708
2022-10-13,Delhi,77129105,63097252,4047343
2022-10-14,Gujarat,72997464,50221856,10198170
2022-10-15,Gujarat,32030708,89371913,13022552
2022-10-16,Maharashtra,44712563,64336395,5827060
2022-10-17,Tamil Nadu,52606911,72226635,6497218
2022-10-18,Delhi,45746652,78682814,7296195
2022-10-19,Tamil Nadu,79700765,54227174,3148890
2022-10-20,Delhi,63972150,66175023,12959844
2022-10-21,Tamil Nadu,62954571,82413357,6145867
2022-10-22,Tamil Nadu,35275422,76002747,14633443
2022-10-23,Gujarat,41193450,42347084,10818240
2022-10-24,Delhi,44096841,38065280,9476234
2022-10-25,Delhi,79636987,84734471,3379389
2022-10-26,Maharashtra,46346495,40122644,13320534
2022-10-27,Maharashtra,68667156,40654624,6022444
2022-10-28,Maharashtra,43114621,45250274,7942841
2022-10-29,Gujarat,38311687,57756741,4729577
2022-10-30,Delhi,31653029,45328679,3704394
2022-10-31,Delhi,47626892,50852388,2246601
2022-11-01,Maharashtra,72857568,60684300,11795681
2022-11-02,Karnataka,52565319,75164825,10221538
2022-11-03,Delhi,77226768,44544781,9626886
2022-11-04,Gujarat,78596252,89710919,13173056
2022-11-05,Maharashtra,70813806,40564161,9087647
2022-11-06,Gujarat,74621240,44284264,3804579
2022-11-07,Tamil Nadu,36519478,35664167,3974237
2022-11-08,Karnataka,41302091,38569219,8855380
2022-11-09,Tamil Nadu,78681134,78165370,1514945
2022-11-10,Karnataka,51260830,44331070,7880022
2022-11-11,Maharashtra,79398903,57278817,4415594
2022-11-12,Karnataka,62443997,69940749,14262327
2022-11-13,Gujarat,70526767,35822709,12263817
2022-11-14,Maharashtra,33691059,70224100,13401120
2022-11-15,Delhi,76055891,65194907,2265428
2022-11-16,Karnataka,47431917,37202050,14631326
2022-11-17,Tamil Nadu,31813155,67118803,10851853
2022-11-18,Karnataka,79729959,52871165,4910341
2022-11-19,Gujarat,61559448,36461825,11356276
2022-11-20,Maharashtra,57399674,85039415,10085875
2022-11-21,Karnataka,54631442,52874733,9703881
2022-11-22,Maharashtra,46798328,66040248,14250772
2022-11-23,Gujarat,78322281,38091304,9303419
2022-11-24,Karnataka,40785078,57394078,14855251
2022-11-25,Karnataka,40309498,75513561,1973821
2022-11-26,Gujarat,41559170,80659871,3030162
2022-11-27,Tamil Nadu,46111749,64946653,13293892
2022-11-28,Delhi,71694324,58665360,5283909
2022-11-29,Delhi,37796172,78927247,12922433
2022-11-30,Delhi,79851603,53633534,9857115
2022-12-01,Maharashtra,54337655,53909633,11029507
2022-12-02,Karnataka,77809306,69827185,1661877
2022-12-03,Gujarat,54517414,67149948,5623443
2022-12-04,Maharashtra,65861075,71079048,8377154
2022-12-05,Gujarat,79488954,73585716,2408092
2022-12-06,Gujarat,32733033,84136664,5769894
2022-12-07,Gujarat,72935110,39188941,10037892
2022-12-08,Karnataka,34288501,50859654,8661174
2022-12-09,Tamil Nadu,59340410,80753784,1637187
2022-12-10,Gujarat,40377315,81399942,6102681
2022-12-11,Delhi,74606123,60363024,5037145
2022-12-12,Maharashtra,77656011,85451052,14411171
2022-12-13,Maharashtra,45677401,77310079,1907489
2022-12-14,Karnataka,58059177,56769655,2140671
2022-12-15,Maharashtra,62439319,84312438,6540819
2022-12-16,Gujarat,36295979,65457323,5494756
2022-12-17,Maharashtra,72557771,53048328,10585127
2022-12-18,Tamil Nadu,55629823,52286438,7193033
2022-12-19,Gujarat,50891134,72684947,5647358
2022-12-20,Tamil Nadu,57499364,81480667,14038760
2022-12-21,Tamil Nadu,31266176,54260532,1061637
