Year,State,Enrollment,Graduation_Rate,Education_Budget
2019,Tamil Nadu,1825953,66,631006205
2020,Delhi,955562,90,300076247
2023,Tamil Nadu,916645,69,465101382
2019,Gujarat,1089641,80,305666289
2024,Delhi,1594309,85,767847476
2021,Gujarat,1567928,86,242884733
2024,Gujarat,1150673,84,713549811
2018,Tamil Nadu,806599,69,582949559
2017,Karnataka,1919624,81,256488030
2016,Karnataka,1405096,89,325904105
2017,Delhi,1062584,70,395476687
2024,Tamil Nadu,1514155,79,608510631
2021,Maharashtra,1327045,68,427982437
2020,Gujarat,1097937,70,456751485
2023,Karnataka,1893487,85,375528164
2018,Delhi,1240038,89,449560912
2015,Delhi,1835781,83,752684536
2017,Maharashtra,1494745,68,276820332
2017,Gujarat,1864823,88,292325581
2022,Gujarat,1943120,84,401202330
2023,Maharashtra,1335078,76,666122594
2023,Tamil Nadu,1829566,71,751812320
2016,Karnataka,842649,73,329425069
2018,Tamil Nadu,941880,75,734791259
2022,Delhi,1409308,78,626384282
2021,Delhi,1053622,83,770855417
2017,Delhi,944312,70,466378361
2015,Maharashtra,944385,66,566910847
2017,Delhi,913473,82,573259808
2015,Gujarat,1536842,65,268925335
2024,Karnataka,1974762,77,678518893
2024,Delhi,1512889,84,488929147
2015,Delhi,1445701,86,364943552
2023,Delhi,846790,85,443876797
2017,Delhi,1551359,80,327721337
2015,Delhi,1340750,76,799146864
2022,Maharashtra,1133693,73,380095651
2021,Delhi,1897231,72,458755112
2021,Maharashtra,1606002,77,477524304
2019,Maharashtra,1548299,86,204379463
2023,Delhi,1971071,82,666346284
2023,Tamil Nadu,869462,73,288451026
2017,Maharashtra,1427136,87,286699343
2019,Maharashtra,1865019,77,276943424
2023,Maharashtra,863729,75,754798528
2021,Gujarat,1413529,86,506439234
2022,Gujarat,1386562,76,357858155
2020,Maharashtra,912636,86,758290237
2023,Tamil Nadu,1890480,76,655600526
2018,Maharashtra,1122188,68,212384926
2024,Maharashtra,1367878,74,644589419
2024,Tamil Nadu,1279144,88,236211976
2024,Tamil Nadu,1365343,84,642792591
2022,Gujarat,920954,69,319218605
2016,Maharashtra,1861221,85,777421463
2017,Delhi,1454859,67,576945739
2019,Tamil Nadu,840553,73,268314712
2024,Karnataka,938231,77,557897512
2017,Delhi,1769220,78,263271459
2024,Karnataka,1013311,71,579721616
2018,Delhi,1373188,83,346857317
2018,Delhi,1699154,74,705389447
2024,Tamil Nadu,1119312,74,538103699
2018,Karnataka,1463183,68,344662245
2015,Karnataka,1552586,72,245222457
2015,Karnataka,1749881,79,207323449
2018,Tamil Nadu,1197764,76,592920455
2022,Karnataka,1877730,70,310573413
2020,Karnataka,1355753,86,738059288
2023,Tamil Nadu,1933643,90,497088937
2018,Gujarat,1202103,82,329885797
2019,Tamil Nadu,1609879,74,241002776
2018,Gujarat,1016862,76,778399160
2018,Karnataka,831403,71,695801230
2020,Gujarat,1330127,65,281891477
2015,Delhi,1037550,81,462951918
2017,Delhi,1461363,75,775360366
2021,Tamil Nadu,1478940,72,768101631
2021,Delhi,997728,81,381262793
2015,Gujarat,997184,88,460458470
2022,Karnataka,1535080,70,493911421
2015,Tamil Nadu,1737979,67,597822588
2023,Karnataka,1003443,84,446518680
2023,Karnataka,1159564,69,482631109
2024,Tamil Nadu,1279257,90,487081761
2018,Maharashtra,1682673,73,581866369
2023,Karnataka,1523471,85,652368850
2019,Maharashtra,1185542,71,786362027
2021,Tamil Nadu,806453,65,731242897
2017,Delhi,1338411,71,262373088
2022,Karnataka,1641038,65,592738992
2024,Maharashtra,1814131,65,361209550
2024,Maharashtra,907052,88,217374750
2019,Karnataka,1996472,75,523829897
2019,Delhi,1226532,79,666271658
2021,Maharashtra,1337086,73,587610055
2016,Karnataka,1173945,84,629228462
2018,Gujarat,883187,89,262295624
2024,Karnataka,1638536,87,783461962
2020,Karnataka,1223231,70,666264112
2020,Delhi,1939162,85,638774378
2019,Delhi,1310737,88,707134563
2018,Karnataka,1823899,72,358240084
2021,Delhi,1146336,74,713984273
2015,Tamil Nadu,1289335,78,361109624
2018,Tamil Nadu,1085690,79,745005075
2018,Tamil Nadu,1649999,84,637036210
2019,Delhi,980296,73,678731731
2020,Delhi,1184674,90,396107445
2016,Gujarat,1052638,78,372616534
2019,Delhi,1574617,68,306248273
2022,Karnataka,1117405,71,689899445
2020,Tamil Nadu,1784012,79,345990295
2021,Tamil Nadu,1951234,85,568763667
2017,Maharashtra,1790458,65,771124666
2019,Maharashtra,819229,78,679050353
2022,Delhi,1480008,72,237077856
2023,Tamil Nadu,1787104,76,234356745
2016,Karnataka,1537243,71,258587173
2019,Maharashtra,1609975,68,733051637
2017,Karnataka,824561,65,460447511
2020,Karnataka,1233963,78,434604973
2019,Maharashtra,849915,80,751710916
2015,Delhi,1526076,90,419979218
2016,Delhi,1579421,79,485518533
2022,Maharashtra,902327,77,763052671
2023,Gujarat,1834202,82,796965132
2015,Tamil Nadu,1068260,66,469621411
2015,Delhi,1516812,74,453507843
2017,Gujarat,1283340,69,236096544
2015,Delhi,1540215,68,416840016
2023,Maharashtra,1861642,88,682711841
2024,Tamil Nadu,1950204,81,702759199
2018,Karnataka,1163589,74,611745620
2022,Karnataka,1804507,74,570387570
2021,Maharashtra,1394355,71,665886143
2023,Maharashtra,1115155,85,589543593
2021,Delhi,1300256,76,533692043
2019,Maharashtra,1936723,85,616839178
2017,Karnataka,1474785,75,391478899
2016,Delhi,1911729,68,736961808
2021,Gujarat,1353161,86,655292040
2016,Karnataka,1494393,76,634499528
2020,Tamil Nadu,1406370,72,207256800
2017,Gujarat,1667378,72,302137104
2023,Gujarat,1460436,78,642867395
2024,Delhi,860341,79,786986579
2019,Gujarat,1503612,86,350004532
2018,Tamil Nadu,1882407,80,631515730
2016,Karnataka,1077500,66,641389174
2023,Maharashtra,1704927,82,304317468
2021,Karnataka,1474748,81,574744865
2020,Karnataka,1841081,87,532931172
2019,Maharashtra,1014810,68,726101076
2016,Maharashtra,1357284,79,513908677
2016,Tamil Nadu,1411874,66,768889697
2015,Delhi,1521664,65,310067555
2019,Delhi,944829,84,564586256
2023,Maharashtra,1214971,87,707552679
2021,Delhi,1300976,71,695821818
2019,Maharashtra,1923980,89,328693228
2022,Gujarat,1615145,67,681313975
2024,Tamil Nadu,1571985,78,755192578
2016,Karnataka,1899787,75,441507174
2024,Delhi,1223739,86,673623963
2015,Maharashtra,1494717,79,432719390
2022,Delhi,1400711,78,521530946
2024,Gujarat,1135344,67,446408718
2019,Delhi,901138,70,790152758
2021,Karnataka,1320315,78,501168209
2024,Delhi,1577195,83,297115250
2019,Karnataka,1250360,65,598861046
2021,Maharashtra,1145744,84,504238341
2020,Gujarat,1519469,82,520691414
2022,Gujarat,916847,72,700854768
2018,Delhi,1966761,76,645093398
2015,Tamil Nadu,934106,88,793401936
2023,Maharashtra,1133265,65,320423095
2017,Tamil Nadu,1672893,88,388801528
2021,Karnataka,1175885,88,602715224
2023,Tamil Nadu,1072975,70,207556381
2023,Gujarat,1710464,74,590957470
2019,Maharashtra,1130028,80,476765359
2017,Karnataka,1574827,81,408764595
2018,Karnataka,1952383,69,736226919
2024,Delhi,851271,73,552947867
2024,Delhi,1827753,65,237433989
2021,Tamil Nadu,1166079,79,372316211
2016,Maharashtra,1478054,82,252337184
2021,Maharashtra,1808107,87,647135486
2024,Maharashtra,1411413,88,483531577
2018,Gujarat,1677553,76,628118101
2020,Maharashtra,1204875,88,210152726
2024,Maharashtra,1069408,66,505429803
2022,Karnataka,1974990,68,497330540
2016,Karnataka,1697694,90,758864897
2016,Maharashtra,1425437,70,694090296
2019,Karnataka,1739623,90,439503629
2019,Karnataka,1958204,72,709086184
2016,Karnataka,1307433,89,215351678
2015,Karnataka,1898273,74,505747447
2022,Gujarat,1999946,86,292812156
2022,Tamil Nadu,1478952,85,453002550
2018,Delhi,1782152,70,390677866
2017,Delhi,1756073,86,647397595
2023,Tamil Nadu,1993608,80,760603344
2019,Maharashtra,1726468,78,731259166
2016,Gujarat,1585694,88,651741113
2017,Karnataka,1397384,83,798185775
2018,Delhi,1335493,87,249180695
2017,Tamil Nadu,1735443,68,744951796
2019,Maharashtra,1850549,87,346733659
2020,Gujarat,1839115,65,422686730
2016,Delhi,1339841,73,675791316
2022,Maharashtra,859830,76,232929427
2023,Karnataka,1202864,89,722471227
2022,Karnataka,801555,67,541788201
2024,Karnataka,1219068,88,371199392
2017,Delhi,1130973,65,312199336
2024,Maharashtra,948554,87,487086739
2018,Maharashtra,1777797,87,537577626
2024,Karnataka,996372,80,278457637
2016,Delhi,1790506,82,665145838
2024,Karnataka,1541357,85,345676337
2021,Tamil Nadu,1715244,77,769255090
2018,Tamil Nadu,1519830,75,451741332
2018,Karnataka,1410589,85,312039450
2019,Karnataka,979792,68,327505819
2016,Tamil Nadu,1477886,75,574649214
2019,Gujarat,902953,72,202894280
2018,Delhi,1954222,82,269842474
2017,Delhi,1709928,68,451011464
2023,Karnataka,1968585,84,551887193
2021,Tamil Nadu,805805,69,746325179
2021,Tamil Nadu,1538336,85,682111036
2024,Karnataka,1879345,69,596317828
2019,Delhi,1586671,69,548595107
2021,Karnataka,1568358,73,536991210
2022,Gujarat,1958176,76,697152048
2018,Gujarat,1367425,89,305136306
2024,Karnataka,1733059,84,473567320
2015,Gujarat,1904694,86,449583189
2024,Tamil Nadu,1463958,77,209305503
2018,Maharashtra,1878256,66,325474612
2018,Tamil Nadu,1352263,82,497473344
2020,Delhi,1652208,70,773245650
2022,Tamil Nadu,1924578,71,748716015
2017,Delhi,849945,82,629868627
2019,Tamil Nadu,1048031,83,758719117
2017,Maharashtra,1089831,90,670575309
2023,Delhi,1568188,82,223508355
2021,Maharashtra,1007605,65,224630802
2024,Gujarat,875900,85,474491033
2021,Tamil Nadu,937150,85,583237372
2021,Gujarat,1744287,79,586223397
2024,Maharashtra,1248662,86,426759256
2022,Gujarat,844905,75,206415819
2021,Karnataka,997114,77,721447198
2018,Maharashtra,1832003,71,391817247
2021,Gujarat,1930198,72,357930762
2015,Maharashtra,1303771,76,508779679
2016,Delhi,1399099,66,362693385
2016,Maharashtra,1093557,68,302927672
2017,Delhi,943939,80,606507399
2018,Karnataka,1938642,77,581440739
2018,Gujarat,1840521,81,702920533
2021,Delhi,860596,83,387184203
2021,Maharashtra,1886368,86,737246643
2017,Karnataka,1547018,85,451515936
2017,Gujarat,1009537,82,694877966
2022,Gujarat,805843,79,525520642
2021,Gujarat,1181274,88,276553652
2020,Tamil Nadu,1230306,70,453102723
2015,Karnataka,1529894,89,319508422
2015,Karnataka,1892616,81,758454973
2023,Karnataka,930380,79,228735123
2023,Karnataka,1355097,68,787528490
2016,Tamil Nadu,900991,75,659275116
2019,Delhi,1131457,90,678592142
2024,Gujarat,1448778,66,744562119
2015,Tamil Nadu,860533,71,367873105
2017,Karnataka,1457206,72,288959835
2021,Delhi,1629570,81,438627020
2018,Maharashtra,1697793,70,759592548
2018,Maharashtra,1055569,80,240255738
2022,Tamil Nadu,1925366,67,713166973
2015,Maharashtra,1588778,86,277792971
2020,Maharashtra,1646954,90,782102079
2019,Gujarat,851685,81,275525338
2023,Maharashtra,1801978,90,211418113
2020,Tamil Nadu,1690304,79,602861990
2017,Tamil Nadu,1825961,68,344589956
2020,Tamil Nadu,960350,76,601445750
2016,Delhi,1339655,84,791700181
2021,Gujarat,1805322,81,224657148
2018,Gujarat,824891,87,553769181
2018,Gujarat,1769222,68,500556018
2023,Gujarat,1967363,82,685071916
2023,Gujarat,1718771,67,337677757
2021,Gujarat,1717660,80,564520585
2017,Delhi,1783065,72,404702558
2015,Maharashtra,1066874,77,434785597
2020,Karnataka,1319508,70,728740702
2024,Gujarat,1145944,88,338930457
2015,Tamil Nadu,1602610,77,372023937
2019,Delhi,1345439,87,648749441
2019,Tamil Nadu,1756430,88,718215281
2018,Gujarat,1095056,65,356871921
2019,Maharashtra,1830636,79,604648163
2015,Maharashtra,1048368,87,691730583
2021,Karnataka,1680226,88,495004360
2021,Maharashtra,1475698,83,292666574
2016,Gujarat,825051,71,600814398
2018,Tamil Nadu,945998,80,260093793
2023,Gujarat,1246220,84,588977215
2016,Delhi,1352876,70,250167085
2024,Maharashtra,1573448,80,731369510
2018,Karnataka,882602,86,549319338
2024,Delhi,1185802,71,365598792
2024,Delhi,1922582,65,297104621
2020,Maharashtra,1289266,78,597518781
2022,Tamil Nadu,1588831,75,770707350
2018,Delhi,1315021,65,221226873
2015,Gujarat,1021785,75,764021038
2021,Maharashtra,1215663,73,626325038
2015,Gujarat,957229,89,718621244
2015,Maharashtra,1423097,82,596492880
2015,Karnataka,1101402,74,405012792
2019,Maharashtra,983164,66,404055946
2022,Tamil Nadu,1177317,73,515661146
2019,Gujarat,1758514,68,692870720
2018,Maharashtra,1838986,76,322072743
2022,Delhi,1315993,89,781763705
2016,Tamil Nadu,1502394,72,713675500
2019,Tamil Nadu,1917110,71,604107327
2015,Delhi,1778032,72,520683189
2016,Gujarat,1358460,68,300694537
2023,Maharashtra,1718286,76,782038529
2016,Tamil Nadu,969169,74,770606084
2019,Delhi,1922965,84,560611311
2016,Maharashtra,1822420,65,209964337
2018,Karnataka,1382744,73,679522008
2021,Tamil Nadu,847832,69,562100754
2016,Maharashtra,1447257,73,580748896
2022,Gujarat,1392660,78,217025100
2023,Karnataka,1197604,69,425235381
2019,Maharashtra,1538728,79,549020470
2018,Maharashtra,991987,77,315566044
2018,Gujarat,1593367,76,374124639
2022,Karnataka,1731945,71,633471786
2017,Delhi,1373596,65,245708253
2023,Karnataka,926984,86,698404299
2016,Tamil Nadu,1394700,71,507682010
2020,Maharashtra,864568,82,421798406
2019,Tamil Nadu,1428574,71,777929667
2024,Gujarat,1840903,83,491313102
2017,Delhi,1993069,76,501665820
2018,Tamil Nadu,1403606,79,633635386
2020,Tamil Nadu,958024,87,795361892
2018,Tamil Nadu,1746274,70,279137765
2018,Karnataka,877644,69,452285318
2019,Tamil Nadu,933151,83,414902841
2024,Tamil Nadu,1439980,69,388308452
2015,Tamil Nadu,1312002,83,779933011
2021,Maharashtra,1478767,84,414909909
2023,Karnataka,1908227,78,519109289
2024,Tamil Nadu,1425167,69,344702834
2020,Maharashtra,1872409,83,661266562
2017,Maharashtra,1221948,66,727004618
2022,Delhi,1746867,80,313365756
2015,Maharashtra,1922213,85,623068977
2022,Karnataka,1212518,90,385133420
2019,Maharashtra,878575,74,302453076
2020,Delhi,924835,90,606960895
2019,Gujarat,1997851,88,378021854
2016,Gujarat,874820,79,405087503
2023,Delhi,1921490,76,703173474
2015,Karnataka,1298281,90,478878631
2021,Karnataka,1504060,73,313947926
2022,Karnataka,1625096,80,457629104
2020,Gujarat,997081,71,286767201
2023,Delhi,1950161,80,507788052
2024,Maharashtra,1633230,86,299891980
2017,Gujarat,1689082,88,499783789
2022,Maharashtra,1922525,80,501529045
2023,Tamil Nadu,1685720,81,532957965
2022,Karnataka,1001486,83,537980524
2016,Tamil Nadu,1607954,79,361772907
2017,Delhi,990940,76,647485814
2023,Delhi,1551693,69,391468442
2020,Karnataka,1882536,82,483164906
2016,Gujarat,1767002,72,535943365
2023,Karnataka,1002943,84,453931216
2024,Maharashtra,1939400,82,456440196
2020,Karnataka,1218880,81,361729826
2022,Gujarat,1519229,66,447955563
2023,Delhi,1621347,71,582902220
2019,Maharashtra,1487632,88,349311779
2017,Karnataka,803073,84,424010068
2019,Tamil Nadu,1279282,90,359996840
2023,Gujarat,1346900,81,784426915
2018,Gujarat,1869770,70,326211159
2024,Gujarat,1889317,86,296458232
2017,Gujarat,1670272,80,358005722
2021,Tamil Nadu,1202662,74,556726969
2024,Delhi,1220653,76,255300495
2021,Delhi,835732,88,206547951
2024,Delhi,811057,78,269292483
2022,Maharashtra,898588,72,696574996
2018,Delhi,1177316,81,564489751
2018,Karnataka,1312672,76,612333176
2015,Delhi,1675940,80,514640078
2023,Delhi,1167377,89,260099736
2018,Delhi,1277969,78,334156593
2018,Maharashtra,1120040,70,546460007
2018,Tamil Nadu,1607518,83,767274360
2017,Delhi,1808332,73,749151144
2018,Delhi,1669082,82,473475448
2016,Tamil Nadu,1123542,90,279933016
2019,Gujarat,945964,66,380119205
2016,Delhi,1199597,65,210614022
2015,Maharashtra,878185,86,743256133
2024,Delhi,1490769,89,578257207
2020,Karnataka,1341143,79,402147636
2017,Karnataka,1908958,80,647890500
2015,Gujarat,1191027,72,446352576
2015,Tamil Nadu,1497775,79,638057543
2017,Delhi,1762086,89,735622425
2019,Gujarat,1229086,66,537533400
2022,Maharashtra,1128747,87,785157270
2018,Tamil Nadu,1986685,67,476900170
2021,Maharashtra,1506758,88,512605993
2019,Gujarat,1635800,84,357717806
2016,Delhi,1122136,78,634260510
2023,Maharashtra,813924,87,582618587
2021,Delhi,995193,86,492535024
2022,Delhi,1963995,87,354604972
2020,Maharashtra,834194,65,222429928
2019,Tamil Nadu,1353040,67,534022042
2022,Maharashtra,964444,69,683474713
2015,Tamil Nadu,899164,70,564075460
2017,Karnataka,1105238,66,204040598
2018,Maharashtra,1295542,86,232072942
2022,Gujarat,849039,89,760960724
2015,Tamil Nadu,1430310,89,206443918
2015,Maharashtra,1453326,66,373195978
2017,Tamil Nadu,879164,71,784540504
2015,Maharashtra,1289151,80,653003137
2019,Tamil Nadu,993566,74,444085946
2017,Tamil Nadu,1216905,72,373992297
2018,Maharashtra,1369455,73,659241443
2018,Tamil Nadu,971356,74,363537267
2021,Delhi,946112,84,225989454
2018,Maharashtra,1090950,69,349700000
2017,Delhi,1311830,70,596181643
2024,Gujarat,1478112,71,280472459
2024,Gujarat,1829188,66,572161787
2018,Tamil Nadu,918134,68,721272779
2020,Gujarat,1290857,90,704170910
2017,Delhi,1187599,72,652835882
2018,Maharashtra,1837959,65,296566144
2021,Delhi,1015558,68,609264117
2022,Maharashtra,1010245,65,566457378
2019,Gujarat,1825831,74,339290770
2018,Gujarat,1723080,75,342184205
2024,Gujarat,1166310,71,298135544
2022,Gujarat,1391367,69,334799323
2022,Tamil Nadu,1578689,88,320128872
2023,Tamil Nadu,1285278,68,220486289
2018,Delhi,1380804,79,447647404
2023,Delhi,895329,72,772182579
2016,Maharashtra,1488333,76,443984491
2022,Delhi,1552129,68,787666971
2015,Karnataka,917541,85,798449532
2021,Delhi,1006341,65,610453235
2016,Tamil Nadu,1340966,81,777407424
2022,Gujarat,835558,81,304190937
2018,Maharashtra,1071652,78,353057131
2019,Tamil Nadu,1451866,77,535426521
2021,Karnataka,1207869,84,386583805
2015,Delhi,856470,69,571668613
2015,Tamil Nadu,1409484,84,297634670
2017,Karnataka,1211199,71,352440926
2015,Karnataka,1982355,82,790065924
2022,Gujarat,1544500,89,355196773
2017,Karnataka,1597972,78,563396307
2022,Delhi,848512,78,494463578
2024,Delhi,1008110,81,510539833
2019,Maharashtra,1584868,79,570002259
2022,Maharashtra,1016017,88,343137482
2015,Karnataka,1416221,68,793240284
2017,Maharashtra,946146,85,431651475
2018,Delhi,802008,72,362619802
2015,Delhi,1799201,89,340942277
2019,Tamil Nadu,848938,78,326259252
2015,Delhi,1571140,76,370155507
2022,Maharashtra,949343,75,672278457
2019,Maharashtra,1465906,80,454881024
2024,Karnataka,1759139,70,367045238
2018,Gujarat,1654268,80,503068347
2017,Tamil Nadu,1534837,81,239150470
2022,Gujarat,1704891,87,630132344
2018,Maharashtra,1635078,88,341221740
2017,Tamil Nadu,1279896,73,263872055
2024,Gujarat,970122,66,267874658
2021,Tamil Nadu,1683592,71,373163225
2023,Tamil Nadu,1765831,78,361320595
2018,Karnataka,1952565,72,504867607
2018,Maharashtra,1120665,68,219494531
2018,Maharashtra,1851693,87,529519818
2022,Maharashtra,1389293,90,335358079
2024,Maharashtra,879709,86,598865377
2021,Karnataka,1369606,72,311470371
2023,Delhi,805603,69,675241103
2023,Maharashtra,1905565,84,725308450
2017,Delhi,1803050,73,424929116
2018,Gujarat,1637000,77,526343131
2015,Maharashtra,954291,69,365568636
2023,Maharashtra,942728,79,727698224
2024,Gujarat,1960820,89,367900539
2024,Tamil Nadu,941050,85,782103688
2021,Gujarat,898013,88,749319771
2024,Delhi,862729,65,575872330
2018,Tamil Nadu,1522590,79,247924265
2023,Tamil Nadu,1103236,83,309585993
2020,Karnataka,1127212,67,356584386
2019,Karnataka,961936,89,759680368
2018,Karnataka,1925422,73,758484267
2023,Maharashtra,918421,83,290785878
2017,Delhi,1186436,79,766598198
2023,Tamil Nadu,1528174,80,376616730
2023,Karnataka,1028039,72,547414834
2016,Tamil Nadu,1860208,69,436564715
2024,Karnataka,1462370,67,302144654
2015,Karnataka,1144180,86,380414355
2020,Tamil Nadu,1770880,79,364742634
2018,Gujarat,806718,75,400903350
2022,Gujarat,1094083,89,421911080
2021,Tamil Nadu,1246679,70,574958633
2021,Delhi,1300345,87,377842499
2016,Tamil Nadu,1317248,75,532859462
2021,Gujarat,1701339,70,656975507
2019,Maharashtra,974944,68,700395387
2022,Tamil Nadu,961558,87,770220978
2020,Karnataka,1440362,89,646044108
2022,Karnataka,1825274,78,208564641
2015,Maharashtra,1480446,89,311917100
2020,Gujarat,1070613,88,772127709
2019,Karnataka,1468131,78,200597910
2020,Karnataka,1248645,87,379102588
2020,Delhi,1347326,73,263995051
2016,Karnataka,1328773,84,781580128
2023,Karnataka,1621794,81,611333639
2017,Delhi,1307424,77,405185712
2018,Maharashtra,1965287,80,231735957
2020,Gujarat,1159993,71,442923196
2017,Delhi,1203699,81,418913450
2022,Gujarat,1165112,67,534591558
2021,Karnataka,1839622,87,357868343
2019,Karnataka,1633530,65,346256426
2017,Gujarat,1102381,70,339014919
2015,Tamil Nadu,1548268,76,542398171
2018,Gujarat,1692814,88,298995109
2015,Tamil Nadu,867489,65,729217305
2019,Maharashtra,1206301,80,264003703
2015,Tamil Nadu,1968878,69,293188076
2024,Gujarat,1741413,86,739735852
2024,Gujarat,1678389,84,699924418
2017,Delhi,1517511,90,572989294
2022,Delhi,1775486,75,675938177
2024,Karnataka,1017425,85,637510452
2024,Gujarat,1154663,82,435242907
2021,Tamil Nadu,1026365,90,265451314
2015,Maharashtra,954168,69,314977227
2018,Maharashtra,1823357,74,557752315
2017,Delhi,1243832,74,614771575
2015,Karnataka,1031872,83,484695328
2023,Delhi,1989925,85,796847691
2023,Gujarat,1993494,87,786551692
2017,Gujarat,1471820,79,467761769
2021,Delhi,1555202,79,462105112
2022,Tamil Nadu,1275227,65,258671998
2020,Delhi,919637,74,364346433
2018,Maharashtra,1154609,72,342686585
2015,Gujarat,1192787,86,288890798
2021,Tamil Nadu,1418733,77,705123442
2015,Delhi,1817494,87,274597773
2016,Maharashtra,1140463,87,357287913
2022,Karnataka,1850273,87,658189859
2023,Gujarat,1262361,72,792563034
2018,Tamil Nadu,1630959,89,334206149
2017,Delhi,1221307,71,368839538
2023,Maharashtra,1368062,85,498382777
2020,Maharashtra,1269765,86,524991480
2016,Delhi,1389089,76,331324017
2018,Maharashtra,1304711,83,342828064
2020,Gujarat,1293168,66,283944630
2016,Tamil Nadu,1401434,65,590044111
2023,Tamil Nadu,1170074,71,556185016
2015,Maharashtra,1349605,89,581351929
2019,Maharashtra,1690647,78,614515483
2019,Gujarat,1688818,65,673673580
2015,Gujarat,966110,84,344289241
2019,Maharashtra,1277591,77,224689884
2023,Tamil Nadu,1411172,74,202431472
2019,Gujarat,1325089,88,314780454
2023,Maharashtra,1062389,83,727186503
2022,Maharashtra,1429509,80,588871089
2017,Gujarat,1118350,69,327023729
2023,Delhi,1629413,74,535022262
2022,Delhi,1747247,88,453300759
2023,Tamil Nadu,856992,65,528341959
2016,Karnataka,1489248,65,569677114
2021,Karnataka,1030113,66,390537948
2024,Gujarat,1928283,79,488874369
2016,Delhi,1772386,73,227043076
2024,Maharashtra,1620346,78,698690555
2015,Maharashtra,1474267,86,754814034
2017,Gujarat,960243,85,580700953
2021,Maharashtra,1523462,89,374916374
2018,Delhi,1558632,65,326993012
2020,Maharashtra,1686426,75,596715635
2015,Delhi,1071485,78,390647020
2021,Tamil Nadu,952507,90,362947684
2022,Maharashtra,1890335,78,485349453
2017,Karnataka,880211,77,459216866
2024,Maharashtra,1993376,72,698408948
2022,Gujarat,1434676,67,606796062
2018,Karnataka,1808183,90,555963934
2021,Delhi,1668421,84,381781434
2016,Delhi,1167179,70,756784933
2017,Delhi,1987818,71,609642045
2017,Delhi,1358440,70,681607590
2017,Maharashtra,944527,89,397662996
2018,Delhi,1528589,72,472736696
2019,Karnataka,958029,86,432886631
2023,Delhi,1545137,75,450739759
2016,Delhi,1597432,65,717295723
2018,Karnataka,1828454,85,243819106
2016,Delhi,1010309,81,551226304
2020,Gujarat,1631252,78,731936281
2023,Delhi,1940276,75,224468841
2021,Tamil Nadu,1648205,88,252481601
2020,Maharashtra,1448565,65,358529823
2021,Delhi,1056921,79,259423871
2019,Delhi,1802167,79,409201213
2018,Tamil Nadu,1306518,71,508591708
2018,Karnataka,941004,66,256225801
2020,Gujarat,1157453,70,273985246
2020,Karnataka,1109439,85,628739967
2019,Tamil Nadu,1442396,71,382027873
2015,Gujarat,874114,68,591458206
2023,Karnataka,1841079,71,418494420
2024,Gujarat,1629440,82,733549715
2020,Delhi,1268295,87,260471188
2016,Tamil Nadu,1626424,77,215123375
2017,Gujarat,1791123,88,627984122
2015,Delhi,1958518,77,632027569
2017,Delhi,1434549,85,565260053
2020,Maharashtra,1506343,83,601242050
2017,Maharashtra,1568039,70,725417197
2023,Gujarat,1633486,69,626644035
2016,Delhi,1635670,82,230559868
2018,Gujarat,1948998,85,737854952
2024,Maharashtra,1351064,74,406033655
2021,Maharashtra,1761798,72,267747056
2017,Tamil Nadu,1000110,85,676821188
2017,Tamil Nadu,1719970,78,790651499
2023,Gujarat,1696999,70,506517036
2019,Tamil Nadu,948184,87,566594744
2019,Maharashtra,1423176,82,332717734
2019,Maharashtra,1730198,74,543393127
2018,Maharashtra,1733614,74,650915441
2023,Maharashtra,1320698,81,535378872
2017,Tamil Nadu,1323710,86,519825354
2023,Gujarat,1557658,66,615294918
2023,Maharashtra,1739072,71,232131983
2019,Maharashtra,1964509,82,690016896
2024,Maharashtra,807414,73,232620720
2022,Delhi,1673120,66,270284696
2015,Tamil Nadu,1393703,68,370450802
2020,Karnataka,1393672,87,606635059
2019,Maharashtra,1509316,88,304084027
2022,Delhi,883057,78,720713720
2018,Delhi,939851,72,763144197
2020,Gujarat,832044,80,585254410
2021,Gujarat,1106554,75,608761339
2023,Delhi,1814180,88,560846216
2017,Gujarat,1156618,74,419330730
2019,Karnataka,1234382,73,686597069
2016,Tamil Nadu,1861115,86,639804722
2022,Delhi,1276262,65,628044311
2023,Tamil Nadu,1845908,75,553707447
2021,Tamil Nadu,964069,75,514918148
2023,Karnataka,827527,84,243009514
2023,Gujarat,1496242,87,695254570
2017,Gujarat,895153,74,454503087
2023,Karnataka,963333,66,576205672
2023,Gujarat,1073553,86,292576631
2015,Karnataka,885339,69,652954375
2022,Maharashtra,1582969,78,722825349
2015,Maharashtra,1504993,72,554743940
2015,Gujarat,1089460,66,415674885
2021,Karnataka,1405097,88,240372879
2019,Maharashtra,1448676,68,323406478
2018,Karnataka,1280769,89,602740476
2015,Tamil Nadu,1606233,85,416368871
2021,Maharashtra,1833847,71,718516222
2021,Maharashtra,1752074,77,348542353
2023,Delhi,1541614,89,708153835
2017,Gujarat,1217960,88,639660163
2016,Karnataka,974557,90,418003839
2016,Maharashtra,962495,65,298086983
2023,Delhi,962563,76,259960343
2019,Delhi,987421,82,556334386
2015,Karnataka,1265599,80,242896101
2022,Delhi,1448310,76,234845317
2015,Tamil Nadu,1140694,81,731902870
2018,Tamil Nadu,896018,77,341150085
2018,Tamil Nadu,1923828,85,537752249
2022,Tamil Nadu,1647180,84,307675205
